ID,工作名称,招聘详细链接,公司名称,公司ID,公司性质,公司规模,公司招聘主页,公司地点,薪资,学历要求,工作经历,职位类型,公司福利,工作发布标签,更新时间
CC137243219J00169410111,java开发工程师,https://jobs.zhaopin.com/CC137243219J00169410111.htm,北京顶点时代软件技术有限公司,CZ137243210,股份制企业,1000-9999人,https://company.zhaopin.com/CZ137243210.htm,北京-海淀区,8K-16K,本科,1-3年,全职,五险一金、绩效奖金、餐补、通讯补助、带薪年假,最新,2019-07-10 15:09:28
CC183818823J90250205000,高级Java开发工程师,https://jobs.zhaopin.com/183818823250205.htm,北京信思贤科技有限公司,CZ183818820,民营,100-499人,https://company.zhaopin.com/CZ183818820.htm,北京,12K-24K,本科,3-5年,全职,五险一金、绩效奖金、交通补助、餐补、带薪年假,最新,2019-07-10 14:54:35
CC826061360J00111957313,大数据  java,https://jobs.zhaopin.com/CC826061360J00111957313.htm,北京睿帆知数科技有限公司,CZ826061360,民营,20-99人,https://company.zhaopin.com/CZ826061360.htm,北京,30K-35K,本科,5-10年,全职,五险一金、全勤奖、交通补助、餐补、年底双薪,最新,2019-07-10 09:48:12
CC120359452J00157500014,技术总监（Java）,https://jobs.zhaopin.com/CC120359452J00157500014.htm,北京捷通华声科技股份有限公司,CZ120359450,民营,100-499人,http://special.zhaopin.com/pagepublish/12035945/index.html,北京,30K-50K,本科,3-5年,全职,五险一金、绩效奖金、项目奖金、每年多次调薪、晋升空间,最新,2019-07-10 14:23:13
CC428715824J00103296914,java开发工程师,https://jobs.zhaopin.com/CC428715824J00103296914.htm,北京金色华勤数据服务有限公司,CZ428715820,民营,100-499人,https://company.zhaopin.com/CZ428715820.htm,北京,13K-25K,本科,3-5年,全职,五险一金、带薪年假、周末双休、不加班、年底双薪,最新,2019-07-10 14:26:52
CC280555037J00296942708,JAVA工程师,https://jobs.zhaopin.com/CC280555037J00296942708.htm,重庆中科云从科技有限公司,CZ280555030,民营,1000-9999人,https://company.zhaopin.com/CZ280555030.htm,北京,15K-25K,本科,3-5年,全职,五险一金、绩效奖金、弹性工作、带薪年假,最新,2019-07-10 14:15:45
CC170279519J00155931412,【驻场顺义】中级JAVA工程师,https://jobs.zhaopin.com/CC170279519J00155931412.htm,华青融天 (北京)软件股份有限公司,CZ170279510,股份制企业,100-499人,https://company.zhaopin.com/CZ170279510.htm,北京-顺义区,10K-20K,本科,3-5年,全职,周末双休、五险一金、带薪年假、节日福利、定期体检,最新,2019-07-10 14:10:54
CC120227021J90250570000,高级java开发工程师（电商后台）中关村,https://jobs.zhaopin.com/120227021250570.htm,北京农信互联科技集团有限公司,CZ120227020,民营,500-999人,https://company.zhaopin.com/CZ120227020.htm,北京-海淀区,20K-30K,本科,5-10年,全职,五险一金、股票期权、带薪年假、定期体检、节日福利,最新,2019-07-10 14:07:52
CC120503636J00157595612,Java开发工程师(J13099),https://jobs.zhaopin.com/CC120503636J00157595612.htm,慈铭健康体检管理集团有限公司,CZ120503630,上市公司,1000-9999人,http://special.zhaopin.com/bf/2015/cmjk010418/,北京-朝阳区,12K-15K,本科,5-10年,全职,五险一金、绩效奖金、带薪年假、定期体检、员工旅游,最新,2019-07-10 14:04:50
CC120227021J90250356000,java开发工程师,https://jobs.zhaopin.com/120227021250356.htm,北京农信互联科技集团有限公司,CZ120227020,民营,500-999人,https://company.zhaopin.com/CZ120227020.htm,北京,10K-15K,本科,1-3年,全职,五险一金、绩效奖金、股票期权、带薪年假、定期体检,最新,2019-07-10 14:05:57
CC522006924J00150897414,java开发工程师,https://jobs.zhaopin.com/CC522006924J00150897414.htm,北京海德康健信息科技有限公司,CZ522006920,民营,20-99人,https://company.zhaopin.com/CZ522006920.htm,北京,15K-25K,本科,5-10年,全职,五险一金、带薪年假、周末双休、员工旅游、定期体检,最新,2019-07-10 14:05:53
CC232405817J00073354309,中高级java工程师（SJZL1ljw）,https://jobs.zhaopin.com/CC232405817J00073354309.htm,北京东方国信科技股份有限公司,CZ232405810,上市公司,1000-9999人,https://company.zhaopin.com/CZ232405810.htm,北京,15K-25K,本科,1-3年,全职,年底双薪、定期体检、员工旅游、餐补、年终分红,最新,2019-07-10 13:58:02
CC331332682J00119893809,Java研发工程师（智联万维北京）,https://jobs.zhaopin.com/CC331332682J00119893809.htm,启迪之星(北京)科技企业孵化器有限公司,CZ331332680,国企,100-499人,https://company.zhaopin.com/CZ331332680.htm,北京,8K-10K,本科,1-3年,全职,节日福利、五险一金、绩效奖金、加班补助、带薪年假,最新,2019-07-10 13:49:19
CC273240230J00149602115,高级java开发工程师,https://jobs.zhaopin.com/CC273240230J00149602115.htm,北京梦想智联科技有限公司,CZ273240230,民营,20-99人,https://company.zhaopin.com/CZ273240230.htm,北京,20K-40K,本科,不限,全职,五险一金、年底双薪、绩效奖金、股票期权、加班补助,最新,2019-07-10 14:05:12
CC689935929J00154957512,java+AI开发实习生,https://jobs.zhaopin.com/CC689935929J00154957512.htm,北京百知教育科技有限公司,CZ689935920,股份制企业,500-999人,https://company.zhaopin.com/CZ689935920.htm,北京-丰台区,7.5K-15K,大专,不限,全职,14薪、住房补贴、每年多次调薪、周末双休、五险一金,最新,2019-07-10 13:39:22
CC219712283J00149595415,Java工程师,https://jobs.zhaopin.com/CC219712283J00149595415.htm,北京信智云尚科技有限公司,CZ219712280,民营,20-99人,https://company.zhaopin.com/CZ219712280.htm,北京,5K-7K,本科,3-5年,全职,五险一金、带薪年假、定期体检、节日福利、周末双休,最新,2019-07-10 13:54:50
CC230318426J00088026910,java开发工程师（初中级）,https://jobs.zhaopin.com/CC230318426J00088026910.htm,深圳市赢时胜信息技术股份有限公司北京分公司,CZ230318420,上市公司,1000-9999人,https://company.zhaopin.com/CZ230318420.htm,北京,8K-12K,本科,1-3年,全职,五险一金、加班补助、周末双休、带薪年假、交通补助,最新,2019-07-10 13:35:14
CC689935929J00156508012,java+python（AI人工智能方向)开发实习生,https://jobs.zhaopin.com/CC689935929J00156508012.htm,北京百知教育科技有限公司,CZ689935920,股份制企业,500-999人,https://company.zhaopin.com/CZ689935920.htm,北京-海淀区,8K-16K,大专,不限,全职,14薪、住房补贴、每年多次调薪、周末双休、五险一金,最新,2019-07-10 13:38:26
CC710437130J00138995515,java开发工程师,https://jobs.zhaopin.com/CC710437130J00138995515.htm,百达瑞积(北京)科技股份有限公司,CZ710437130,民营,20-99人,https://company.zhaopin.com/CZ710437130.htm,北京,15K-20K,大专,3-5年,全职,周末双休、节日福利、创业公司,最新,2019-07-10 14:08:04
CC120702341J00159896910,Java开发工程师,https://jobs.zhaopin.com/CC120702341J00159896910.htm,高伟达软件股份有限公司,CZ120702340,外商独资,1000-9999人,https://company.zhaopin.com/CZ120702340.htm,北京,15K-20K,本科,5-10年,全职,五险一金、绩效奖金、带薪年假、定期体检、员工旅游,最新,2019-07-10 14:22:41
CC120702341J00128777710,中级Java开发工程师,https://jobs.zhaopin.com/CC120702341J00128777710.htm,高伟达软件股份有限公司,CZ120702340,外商独资,1000-9999人,https://company.zhaopin.com/CZ120702340.htm,北京,10K-15K,本科,3-5年,全职,五险一金、绩效奖金、带薪年假、定期体检、员工旅游,最新,2019-07-10 14:22:41
CC120359452J00136762214,高级Java开发工程师（AICC）,https://jobs.zhaopin.com/CC120359452J00136762214.htm,北京捷通华声科技股份有限公司,CZ120359450,民营,100-499人,http://special.zhaopin.com/pagepublish/12035945/index.html,北京-海淀区,15K-30K,本科,3-5年,全职,五险一金、绩效奖金、全勤奖、交通补助、带薪年假,最新,2019-07-10 14:23:31
CC692624425J00168877213,java,https://jobs.zhaopin.com/CC692624425J00168877213.htm,北京富深协通科技有限公司,CZ692624420,股份制企业,100-499人,https://company.zhaopin.com/CZ692624420.htm,北京-海淀区,10K-15K,学历不限,1-3年,全职,五险一金、绩效奖金、定期体检、周末双休、定期团建,最新,2019-07-10 14:24:15
CC120702341J00159548110,初/中/高级Java开发工程师（电子政务方向）,https://jobs.zhaopin.com/CC120702341J00159548110.htm,高伟达软件股份有限公司,CZ120702340,外商独资,1000-9999人,https://company.zhaopin.com/CZ120702340.htm,北京,10K-20K,本科,3-5年,全职,五险一金、绩效奖金、带薪年假、定期体检、员工旅游,最新,2019-07-10 14:22:41
CC237760813J00159700509,高级java开发工程师,https://jobs.zhaopin.com/CC237760813J00159700509.htm,中国通信建设集团设计院有限公司,CZ237760810,上市公司,1000-9999人,https://company.zhaopin.com/CZ237760810.htm,北京,15K-30K,本科,5-10年,全职,五险一金、绩效奖金、餐补、房补、带薪年假,最新,2019-07-10 14:16:53
CZ177369020J00145562910,高级java开发工程师,https://jobs.zhaopin.com/CZ177369020J00145562910.htm,富海阳光(北京)技术发展有限公司,CZ177369020,民营,100-499人,https://company.zhaopin.com/CZ177369020.htm,北京,15K-20K,本科,5-10年,全职,五险一金、年底双薪、绩效奖金、全勤奖、餐补,最新,2019-07-10 14:22:29
CC684923820J00150589709,java架构师,https://jobs.zhaopin.com/CC684923820J00150589709.htm,北京对啊网教育科技有限公司,CZ684923820,合资,1000-9999人,https://company.zhaopin.com/CZ684923820.htm,北京-大兴区,25K-35K,本科,5-10年,全职,节日福利、补充医疗保险、五险一金、绩效奖金、大牛带队,最新,2019-07-10 14:15:41
CZ177369020J00147143910,java项目经理,https://jobs.zhaopin.com/CZ177369020J00147143910.htm,富海阳光(北京)技术发展有限公司,CZ177369020,民营,100-499人,https://company.zhaopin.com/CZ177369020.htm,北京,15K-20K,本科,5-10年,全职,五险一金、年底双薪、绩效奖金、全勤奖、餐补,最新,2019-07-10 14:19:37
CC362902229J00155735912,高级Java工程师,https://jobs.zhaopin.com/CC362902229J00155735912.htm,北京智和信通技术有限公司,CZ362902220,民营,20-99人,https://company.zhaopin.com/CZ362902220.htm,北京-朝阳区,15K-20K,本科,3-5年,全职,周末双休、五险一金、弹性工作、带薪年假、节日福利,最新,2019-07-10 14:34:20
CC546980225J00147137810,java游戏开发实习（限2020应届生）,https://jobs.zhaopin.com/CC546980225J00147137810.htm,北京艾恩游科技有限责任公司,CZ546980220,外商独资,20-99人,https://company.zhaopin.com/CZ546980220.htm,北京,3K-5K,本科,无经验,实习,五险一金、餐补、全勤奖、绩效奖金、带薪年假,最新,2019-07-10 00:50:13
CC134218708J00323525707,java开发工程师,https://jobs.zhaopin.com/CC134218708J00323525707.htm,三一集团,CZ134218700,民营,10000人以上,https://company.zhaopin.com/CZ134218700.htm,北京-昌平区,30K-50K,本科,5-10年,全职,五险一金、年底双薪、绩效奖金、餐补、带薪年假,最新,2019-07-10 00:53:36
CC362902229J00155733612,Java组长,https://jobs.zhaopin.com/CC362902229J00155733612.htm,北京智和信通技术有限公司,CZ362902220,民营,20-99人,https://company.zhaopin.com/CZ362902220.htm,北京-朝阳区,20K-30K,本科,5-10年,全职,周末双休、五险一金、弹性工作、带薪年假、节日福利,最新,2019-07-10 14:28:24
CC120019970J00192438311,高级java工程师005,https://jobs.zhaopin.com/CC120019970J00192438311.htm,智联招聘网/Zhaopin.com,CZ120019970,上市公司,1000-9999人,https://company.zhaopin.com/CZ120019970.htm,北京,20K-40K,本科,5-10年,全职,五险一金、绩效奖金、弹性工作、补充医疗保险、节日福利,最新,2019-07-10 14:22:28
CC120598567J90251175000,Java中高级开发工程师,https://jobs.zhaopin.com/120598567251175.htm,北京中海纪元数字技术发展股份有限公司,CZ120598560,国企,500-999人,https://company.zhaopin.com/CZ120598560.htm,北京-海淀区,15K-20K,本科,3-5年,全职,节日福利、五险一金、年底双薪、带薪年假、定期体检,最新,2019-07-10 14:01:10
CC189975514J00056543515,Java后台工程师,https://jobs.zhaopin.com/CC189975514J00056543515.htm,北京神洲天才科技发展有限公司,CZ189975510,其它,20-99人,https://company.zhaopin.com/CZ189975510.htm,北京,4K-6K,本科,1年以下,全职,周末双休、五险一金、不加班,最新,2019-07-10 14:13:08
CC154581810J00287748106,java开发工程师--工商银行,https://jobs.zhaopin.com/CC154581810J00287748106.htm,珠海赞同科技有限公司,CZ154581810,不限,不限,https://company.zhaopin.com/CZ154581810.htm,北京-海淀区,11K-16K,大专,3-5年,全职,五险一金、加班补助、免费班车、节日福利、周末双休,最新,2019-07-10 14:23:48
CC362902229J00155726012,Java架构师,https://jobs.zhaopin.com/CC362902229J00155726012.htm,北京智和信通技术有限公司,CZ362902220,民营,20-99人,https://company.zhaopin.com/CZ362902220.htm,北京-朝阳区,18K-25K,本科,3-5年,全职,周末双休、五险一金、弹性工作、带薪年假、节日福利,最新,2019-07-10 14:50:54
CC136105828J00151524315,java开发工程师,https://jobs.zhaopin.com/CC136105828J00151524315.htm,北京中熙正保远程教育技术有限公司,CZ136105820,上市公司,1000-9999人,https://company.zhaopin.com/CZ136105820.htm,北京-海淀区,15K-25K,本科,3-5年,全职,年底双薪、加班补助、全勤奖、带薪年假、定期体检,最新,2019-07-10 10:29:27
CC472409611J00094640814,java高级开发工程师,https://jobs.zhaopin.com/CC472409611J00094640814.htm,阳光财产保险股份有限公司3,CZ472409610,股份制企业,10000人以上,http://special.zhaopin.com/bj/2013/sinosig031305/,北京,20K-30K,本科,5-10年,全职,节日福利、五险一金、年底双薪、餐补、采暖补贴,最新,2019-07-10 12:13:59
CC521622784J90250007000,高级 Java工程师,https://jobs.zhaopin.com/521622784250007.htm,智相健康科技（北京）有限公司,CZ521622780,民营,20-99人,https://company.zhaopin.com/CZ521622780.htm,北京-朝阳区,20K-30K,本科,3-5年,全职,五险一金、绩效奖金、股票期权、餐补、带薪年假,最新,2019-07-10 14:26:12
CC000058765J00126882212,技术经理—java,https://jobs.zhaopin.com/CC000058765J00126882212.htm,太极计算机股份有限公司,CZ000058760,国企,1000-9999人,https://company.zhaopin.com/CZ000058760.htm,北京,15K-25K,本科,5-10年,全职,五险一金、餐补、定期体检、补充医疗保险、带薪年假,最新,2019-07-10 13:18:55
CC134154875J00110086010,java开发工程师,https://jobs.zhaopin.com/CC134154875J00110086010.htm,北京国信博飞科技发展有限公司,CZ134154870,民营,100-499人,https://company.zhaopin.com/CZ134154870.htm,北京-海淀区,15K-25K,本科,3-5年,全职,五险一金、年底双薪、全勤奖、餐补、通讯补助,最新,2019-07-10 12:12:49
CC375313780J00102747212,java开发程序员（1-2年经验）,https://jobs.zhaopin.com/CC375313780J00102747212.htm,北京志联利盟科技发展有限公司,CZ375313780,民营,20-99人,https://company.zhaopin.com/CZ375313780.htm,北京,6K-8K,大专,1-3年,全职,周末双休、五险一金、交通补助、加班补助、全勤奖,最新,2019-07-10 15:40:03
CC120359452J00136760614,总工程师（java）,https://jobs.zhaopin.com/CC120359452J00136760614.htm,北京捷通华声科技股份有限公司,CZ120359450,民营,100-499人,http://special.zhaopin.com/pagepublish/12035945/index.html,北京-海淀区,30K-60K,本科,5-10年,全职,五险一金、绩效奖金、全勤奖、交通补助、带薪年假,最新,2019-07-10 14:23:07
CC375313780J90250142000,java开发工程师,https://jobs.zhaopin.com/375313780250142.htm,北京志联利盟科技发展有限公司,CZ375313780,民营,20-99人,https://company.zhaopin.com/CZ375313780.htm,北京-海淀区,6K-8K,学历不限,不限,实习,五险一金,最新,2019-07-10 15:40:03
CC000058765J00122718012,高级JAVA开发工程师,https://jobs.zhaopin.com/CC000058765J00122718012.htm,太极计算机股份有限公司,CZ000058760,国企,1000-9999人,https://company.zhaopin.com/CZ000058760.htm,北京,15K-25K,本科,5-10年,全职,五险一金、餐补、定期体检、补充医疗保险、带薪年假,最新,2019-07-10 13:18:55
CC375313780J90250049000,java开发工程师,https://jobs.zhaopin.com/375313780250049.htm,北京志联利盟科技发展有限公司,CZ375313780,民营,20-99人,https://company.zhaopin.com/CZ375313780.htm,北京-朝阳区,6K-8K,学历不限,不限,校园,五险一金、年底双薪、绩效奖金、加班补助、全勤奖,最新,2019-07-10 15:40:03
CC488925020J00044787010,java开发工程师,https://jobs.zhaopin.com/CC488925020J00044787010.htm,安诺优达基因科技(北京)有限公司,CZ488925020,民营,500-999人,https://company.zhaopin.com/CZ488925020.htm,北京,20K-25K,本科,1-3年,全职,周末双休、五险一金、绩效奖金、餐补、补充医疗保险,最新,2019-07-10 15:30:59
CC375313780J90250143000,JAVA开发工程师,https://jobs.zhaopin.com/375313780250143.htm,北京志联利盟科技发展有限公司,CZ375313780,民营,20-99人,https://company.zhaopin.com/CZ375313780.htm,北京-海淀区,6K-8K,学历不限,不限,全职,五险一金、年底双薪、绩效奖金、加班补助、全勤奖,最新,2019-07-10 15:40:03
CC375313780J90250150000,初级JAVA开发程序员,https://jobs.zhaopin.com/375313780250150.htm,北京志联利盟科技发展有限公司,CZ375313780,民营,20-99人,https://company.zhaopin.com/CZ375313780.htm,北京,6K-8K,大专,1-3年,全职,五险一金、绩效奖金、全勤奖、补充医疗保险,最新,2019-07-10 15:40:03
CC595002126J90251057000,Java,https://jobs.zhaopin.com/595002126251057.htm,北京步峰信息技术有限公司,CZ595002120,民营,100-499人,https://company.zhaopin.com/CZ595002120.htm,北京-海淀区,15K-25K,大专,5-10年,全职,五险一金、加班补助、带薪年假、节日福利、包吃,最新,2019-07-10 09:27:56
CC311521235J00150120811,高级java工程师,https://jobs.zhaopin.com/CC311521235J00150120811.htm,深思考人工智能机器人科技(北京)有限公司,CZ311521230,民营,20-99人,https://company.zhaopin.com/CZ311521230.htm,北京,18K-35K,本科,5-10年,全职,节日福利、弹性工作、绩效奖金、股票期权,最新,2019-07-10 11:46:54
CC828046540J00171177511,JAVA开发工程师,https://jobs.zhaopin.com/CC828046540J00171177511.htm,华夏聚优(北京)科技有限公司,CZ828046540,民营,100-499人,https://company.zhaopin.com/CZ828046540.htm,北京,17K-20K,本科,3-5年,全职,五险一金、绩效奖金、餐补、带薪年假、节日福利,最新,2019-07-10 00:51:45
CC438349880J00135441810,java高级工程师（外派至著名AI公司）,https://jobs.zhaopin.com/CC438349880J00135441810.htm,北京顺为互联科技有限公司,CZ438349880,民营,20人以下,https://company.zhaopin.com/CZ438349880.htm,北京,15K-25K,本科,5-10年,全职,包吃、弹性工作,最新,2019-07-10 14:58:46
CC158129529J00319044401,java工程师,https://jobs.zhaopin.com/CC158129529J00319044401.htm,黑龙江邮政易通信息网络有限公司,CZ158129520,国企,100-499人,https://company.zhaopin.com/CZ158129520.htm,北京,10K-20K,本科,3-5年,全职,五险一金、年终分红、交通补助、通讯补助、带薪年假,最新,2019-07-10 09:36:35
CC120019970J00187224411,高级java工程师003,https://jobs.zhaopin.com/CC120019970J00187224411.htm,智联招聘网/Zhaopin.com,CZ120019970,上市公司,1000-9999人,https://company.zhaopin.com/CZ120019970.htm,北京,20K-40K,本科,3-5年,全职,五险一金、年底双薪、绩效奖金、补充医疗保险、定期体检,最新,2019-07-10 14:01:20
CC524239626J00352070303,java软件开发,https://jobs.zhaopin.com/CC524239626J00352070303.htm,上海晓联信息技术有限公司,CZ524239620,民营,20-99人,https://company.zhaopin.com/CZ524239620.htm,北京-朝阳区,10K-15K,大专,3-5年,全职,五险一金、年底双薪、绩效奖金、加班补助、带薪年假,最新,2019-07-10 14:01:13
CZ000523710J00255542804,java,https://jobs.zhaopin.com/CZ000523710J00255542804.htm,北京得天信息咨询有限公司,CZ000523710,其它,100-499人,https://company.zhaopin.com/CZ000523710.htm,北京-丰台区,11K-16K,本科,5-10年,全职,五险一金、综合收入多、到手收入高、定期团建、加班补助,最新,2019-07-10 12:11:40
CZ720879930J00113003714,Java软件开发工程师,https://jobs.zhaopin.com/CZ720879930J00113003714.htm,北京小数点科技有限公司,CZ720879930,民营,100-499人,https://company.zhaopin.com/CZ720879930.htm,北京-朝阳区,12.5K-25K,本科,5-10年,全职,带薪年假、定期体检、节日福利、大牛带队、五险一金,最新,2019-07-10 14:08:27
CC375313780J00071166112,java开发初级工程师,https://jobs.zhaopin.com/CC375313780J00071166112.htm,北京志联利盟科技发展有限公司,CZ375313780,民营,20-99人,https://company.zhaopin.com/CZ375313780.htm,北京,4K-6K,大专,1-3年,全职,无,最新,2019-07-10 15:40:03
CC281907681J00169726313,java开发工程师,https://jobs.zhaopin.com/CC281907681J00169726313.htm,北京中天极科技有限公司,CZ281907680,民营,20-99人,https://company.zhaopin.com/CZ281907680.htm,北京,15K-20K,本科,5-10年,全职,五险一金、餐补、定期体检、弹性工作、带薪年假,最新,2019-07-10 00:52:31
CC375313780J90250145000,JAVA开发工程师,https://jobs.zhaopin.com/375313780250145.htm,北京志联利盟科技发展有限公司,CZ375313780,民营,20-99人,https://company.zhaopin.com/CZ375313780.htm,北京-昌平区,6K-8K,学历不限,不限,兼职/临时,五险一金、年底双薪、绩效奖金、加班补助、全勤奖,最新,2019-07-10 15:40:03
CZ624259280J00176992411,java开发工程师,https://jobs.zhaopin.com/CZ624259280J00176992411.htm,中财建讯(北京)教育科技有限公司,CZ624259280,民营,100-499人,https://company.zhaopin.com/CZ624259280.htm,北京,10K-15K,大专,1-3年,全职,员工旅游、节日福利、五险、年终分红、带薪年假,最新,2019-07-10 11:09:49
CC633851189J00152880915,中级java开发工程师,https://jobs.zhaopin.com/CC633851189J00152880915.htm,北京杰智融软件有限公司,CZ633851180,其它,20-99人,https://company.zhaopin.com/CZ633851180.htm,北京-东城区,10K-14K,本科,3-5年,全职,五险一金、绩效奖金、带薪年假、补充医疗保险、员工旅游,最新,2019-07-10 14:21:53
CC498077886J90250003000,中级工程师（JAVA）,https://jobs.zhaopin.com/498077886250003.htm,北京分享智能系统集成有限公司,CZ498077880,民营,20-99人,https://company.zhaopin.com/CZ498077880.htm,北京,10K-20K,本科,3-5年,全职,五险一金、交通补助、餐补、通讯补助、带薪年假,最新,2019-07-10 14:07:45
CC375313780J90250148000,Java开发实习生,https://jobs.zhaopin.com/375313780250148.htm,北京志联利盟科技发展有限公司,CZ375313780,民营,20-99人,https://company.zhaopin.com/CZ375313780.htm,北京-海淀区,6K-8K,学历不限,无经验,实习,五险一金、年底双薪、绩效奖金、加班补助、全勤奖,最新,2019-07-10 15:40:03
CC688310727J00421561901,高级Java开发工程师(J16711),https://jobs.zhaopin.com/CC688310727J00421561901.htm,上海易鑫融资租赁有限公司,CZ688310720,上市公司,1000-9999人,https://company.zhaopin.com/CZ688310720.htm,北京,15K-20K,本科,5-10年,全职,五险一金、通讯补助、定期体检、补充医疗保险、交通补助,最新,2019-07-10 10:47:55
CC164068020J90250103000,自动化测试 白盒 开发测试 java Selenium,https://jobs.zhaopin.com/164068020250103.htm,北京依诺维尔科技有限公司,CZ164068020,外商独资,20-99人,https://company.zhaopin.com/CZ164068020.htm,北京,5K-10K,学历不限,不限,全职,五险一金、加班补助,最新,2019-07-10 10:47:11
CZ157154920J00011778611,java工程师,https://jobs.zhaopin.com/CZ157154920J00011778611.htm,北京博思廷科技有限公司,CZ157154920,民营,20-99人,https://company.zhaopin.com/CZ157154920.htm,北京,10K-15K,本科,1-3年,全职,五险一金、全勤奖、交通补助、餐补、绩效奖金,最新,2019-07-10 10:41:50
CC233619732J00238836406,java开发工程师,https://jobs.zhaopin.com/CC233619732J00238836406.htm,高信隆小额贷款有限公司,CZ233619730,外商独资,100-499人,https://company.zhaopin.com/CZ233619730.htm,北京-朝阳区,20K-25K,本科,3-5年,全职,定期体检、补充医疗保险、带薪年假、周末双休、五险一金,最新,2019-07-10 15:29:19
CC689935929J00157396812,Java开发工程师实习生,https://jobs.zhaopin.com/CC689935929J00157396812.htm,北京百知教育科技有限公司,CZ689935920,股份制企业,500-999人,https://company.zhaopin.com/CZ689935920.htm,北京-海淀区,7.5K-15K,大专,不限,全职,14薪、住房补贴、每年多次调薪、周末双休、五险一金,最新,2019-07-10 10:47:25
CC328609083J00022129512,高级java开发工程师,https://jobs.zhaopin.com/CC328609083J00022129512.htm,北京易驾佳信息科技有限公司,CZ328609080,股份制企业,100-499人,https://company.zhaopin.com/CZ328609080.htm,北京,15K-25K,本科,3-5年,全职,股票期权、绩效奖金、五险一金、节日福利、餐补,最新,2019-07-10 13:51:28
CC191477125J90250069000,技术经理/高级JAVA工程师（工作地点：王府井）,https://jobs.zhaopin.com/191477125250069.htm,北京博明信德科技有限公司,CZ191477120,股份制企业,100-499人,https://company.zhaopin.com/CZ191477120.htm,北京-丰台区,15K-25K,本科,5-10年,全职,五险一金、绩效奖金、股票期权、加班补助、带薪年假,最新,2019-07-10 10:34:04
